episode,reward
0,16.0
1,35.0
2,21.0
3,12.0
4,50.0
5,23.0
6,62.0
7,69.0
8,11.0
9,32.0
10,148.0
11,13.0
12,35.0
13,56.0
14,90.0
15,85.0
16,377.0
17,120.0
18,66.0
19,319.0
20,16.0
21,28.0
22,40.0
23,72.0
24,184.0
25,19.0
26,331.0
27,16.0
28,14.0
29,453.0
30,41.0
31,19.0
32,32.0
33,53.0
34,55.0
35,11.0
36,42.0
37,413.0
38,24.0
39,120.0
40,61.0
41,35.0
42,23.0
43,53.0
44,32.0
45,22.0
46,14.0
47,341.0
48,80.0
49,427.0
50,118.0
51,48.0
52,339.0
53,310.0
54,21.0
55,23.0
56,23.0
57,74.0
58,304.0
59,352.0
60,30.0
61,378.0
62,34.0
63,98.0
64,66.0
65,85.0
66,21.0
67,26.0
68,363.0
69,28.0
70,76.0
71,115.0
72,69.0
73,69.0
74,30.0
75,61.0
76,70.0
77,39.0
78,374.0
79,18.0
80,94.0
81,500.0
82,92.0
83,349.0
84,350.0
85,90.0
86,476.0
87,191.0
88,500.0
89,24.0
90,15.0
91,40.0
92,260.0
93,108.0
94,312.0
95,397.0
96,32.0
97,235.0
98,105.0
99,37.0
100,54.0
101,295.0
102,169.0
103,42.0
104,57.0
105,360.0
106,22.0
107,40.0
108,78.0
109,56.0
110,73.0
111,64.0
112,81.0
113,484.0
114,419.0
115,500.0
116,423.0
117,33.0
118,57.0
119,258.0
120,431.0
121,53.0
122,169.0
123,21.0
124,45.0
125,59.0
126,244.0
127,125.0
128,94.0
129,77.0
130,373.0
131,87.0
132,138.0
133,78.0
134,43.0
135,395.0
136,27.0
137,357.0
138,124.0
139,57.0
140,90.0
141,103.0
142,338.0
143,89.0
144,439.0
145,272.0
146,61.0
147,168.0
148,45.0
149,413.0
150,66.0
151,88.0
152,326.0
153,330.0
154,333.0
155,105.0
156,96.0
157,51.0
158,344.0
159,324.0
160,59.0
161,80.0
162,41.0
163,427.0
164,71.0
165,58.0
166,83.0
167,365.0
168,97.0
169,72.0
170,189.0
171,400.0
172,388.0
173,75.0
174,103.0
175,500.0
176,152.0
177,276.0
178,276.0
179,303.0
180,66.0
181,500.0
182,58.0
183,496.0
184,458.0
185,62.0
186,347.0
187,61.0
188,252.0
189,380.0
190,157.0
191,70.0
192,97.0
193,145.0
194,461.0
195,349.0
196,383.0
197,500.0
198,69.0
199,76.0
200,313.0
201,500.0
202,82.0
203,410.0
204,500.0
205,464.0
206,59.0
207,371.0
208,69.0
209,64.0
210,474.0
211,327.0
212,500.0
213,500.0
214,64.0
215,359.0
216,58.0
217,410.0
218,69.0
219,496.0
220,363.0
221,385.0
222,118.0
223,86.0
224,500.0
225,500.0
226,500.0
227,477.0
228,487.0
229,487.0
230,172.0
231,67.0
232,440.0
233,382.0
234,500.0
235,311.0
236,66.0
237,80.0
238,500.0
239,66.0
240,338.0
241,500.0
242,71.0
243,361.0
244,448.0
245,64.0
246,500.0
247,380.0
248,500.0
249,326.0
250,333.0
251,436.0
252,433.0
253,75.0
254,371.0
255,486.0
256,268.0
257,432.0
258,78.0
259,53.0
260,103.0
261,95.0
262,94.0
263,370.0
264,99.0
265,91.0
266,90.0
267,385.0
268,311.0
269,500.0
270,419.0
271,500.0
272,86.0
273,416.0
274,310.0
275,500.0
276,78.0
277,263.0
278,304.0
279,80.0
280,89.0
281,79.0
282,455.0
283,485.0
284,81.0
285,500.0
286,83.0
287,443.0
288,94.0
289,96.0
290,375.0
291,348.0
292,500.0
293,94.0
294,500.0
295,332.0
296,470.0
297,360.0
298,269.0
299,263.0
300,291.0
