episode,reward
0,15.0
1,26.0
2,18.0
3,11.0
4,45.0
5,13.0
6,10.0
7,11.0
8,22.0
9,58.0
10,11.0
11,16.0
12,9.0
13,12.0
14,11.0
15,10.0
16,9.0
17,16.0
18,10.0
19,8.0
20,10.0
21,12.0
22,10.0
23,9.0
24,10.0
25,9.0
26,10.0
27,35.0
28,41.0
29,41.0
30,11.0
31,11.0
32,10.0
33,33.0
34,52.0
35,53.0
36,53.0
37,41.0
38,10.0
39,65.0
40,11.0
41,51.0
42,41.0
43,48.0
44,93.0
45,42.0
46,15.0
47,51.0
48,54.0
49,65.0
50,55.0
51,52.0
52,54.0
53,50.0
54,65.0
55,70.0
56,46.0
57,48.0
58,51.0
59,47.0
60,44.0
61,48.0
62,11.0
63,48.0
64,54.0
65,56.0
66,47.0
67,54.0
68,47.0
69,91.0
70,53.0
71,52.0
72,48.0
73,78.0
74,102.0
75,53.0
76,47.0
77,62.0
78,72.0
79,61.0
80,65.0
81,57.0
82,42.0
83,50.0
84,49.0
85,44.0
86,49.0
87,40.0
88,43.0
89,12.0
90,52.0
91,48.0
92,68.0
93,52.0
94,56.0
95,39.0
96,57.0
97,82.0
98,45.0
99,62.0
100,57.0
101,48.0
102,47.0
103,62.0
104,62.0
105,76.0
106,45.0
107,60.0
108,77.0
109,62.0
110,51.0
111,56.0
112,57.0
113,58.0
114,62.0
115,51.0
116,52.0
117,42.0
118,151.0
119,46.0
120,55.0
121,51.0
122,70.0
123,65.0
124,66.0
125,66.0
126,54.0
127,52.0
128,49.0
129,47.0
130,61.0
131,53.0
132,68.0
133,63.0
134,63.0
135,57.0
136,73.0
137,65.0
138,57.0
139,75.0
140,78.0
141,70.0
142,65.0
143,60.0
144,52.0
145,63.0
146,53.0
147,61.0
148,56.0
149,75.0
150,73.0
151,153.0
152,53.0
153,54.0
154,98.0
155,63.0
156,63.0
157,90.0
158,51.0
159,78.0
160,59.0
161,62.0
162,61.0
163,73.0
164,56.0
165,155.0
166,70.0
167,56.0
168,72.0
169,57.0
170,68.0
171,122.0
172,127.0
173,335.0
174,182.0
175,62.0
176,60.0
177,86.0
178,54.0
179,51.0
180,207.0
181,57.0
182,284.0
183,215.0
184,97.0
185,68.0
186,230.0
187,122.0
188,69.0
189,89.0
190,73.0
191,115.0
192,187.0
193,95.0
194,59.0
195,83.0
196,217.0
197,244.0
198,79.0
199,191.0
200,87.0
201,125.0
202,62.0
203,91.0
204,117.0
205,74.0
206,68.0
207,123.0
208,60.0
209,117.0
210,64.0
211,181.0
212,159.0
213,75.0
214,74.0
215,72.0
216,122.0
217,92.0
218,60.0
219,156.0
220,360.0
221,58.0
222,104.0
223,165.0
224,76.0
225,109.0
226,92.0
227,74.0
228,69.0
229,89.0
230,282.0
231,277.0
232,74.0
233,171.0
234,193.0
235,160.0
236,77.0
237,76.0
238,356.0
239,149.0
240,88.0
241,212.0
242,74.0
243,127.0
244,178.0
245,133.0
246,94.0
247,120.0
248,137.0
249,51.0
250,121.0
251,459.0
252,191.0
253,212.0
254,151.0
255,152.0
256,414.0
257,234.0
258,161.0
259,206.0
260,327.0
261,233.0
262,89.0
263,149.0
264,282.0
265,204.0
266,105.0
267,180.0
268,277.0
269,157.0
270,71.0
271,75.0
272,156.0
273,201.0
274,168.0
275,217.0
276,86.0
277,224.0
278,208.0
279,391.0
280,97.0
281,304.0
282,371.0
283,148.0
284,260.0
285,74.0
286,208.0
287,228.0
288,156.0
289,500.0
290,500.0
291,395.0
292,301.0
293,190.0
294,303.0
295,431.0
296,314.0
297,239.0
298,197.0
299,153.0
300,233.0
