episode,reward
0,-119.23206940629376
1,-381.50409846741957
2,-313.77068583201003
3,-295.75388319503463
4,-258.40224240524356
5,-221.56358753623772
6,-398.62662478514545
7,-448.58029438176266
8,-398.70534726616546
9,-74.36201602148883
10,-193.1022680410447
11,-374.2666257676388
12,-417.4521791590595
13,-143.94219314439476
14,-315.4949811545837
15,-238.23516180508645
16,-515.6854271735697
17,-427.99451559001824
18,-379.08842272248677
19,-261.27768259726315
20,-554.1494035481703
21,-393.8783715071492
22,-140.69920820730746
23,-176.80218265985536
24,-346.26202131712114
25,-318.13262231337467
26,-69.73284162756276
27,-250.14367885184907
28,-381.87741040335203
29,-351.20265637950365
30,-78.80287999946886
31,-85.81244991870999
32,-24.241291660687708
33,-153.54411106985677
34,-298.6497850893431
35,-212.4252786498095
36,-9.39494529042581
37,-150.3374988007125
38,-234.29529173718973
39,-366.320517594834
40,-122.28708422451022
41,-355.66858737011285
42,-198.91621974128583
43,-61.449698514000374
44,-252.52148585145372
45,-347.38031827358634
46,-137.1727061003501
47,-205.13657133323284
48,-93.31947968193002
49,-371.76858258209285
50,-341.0000954498415
51,-52.05623839574526
52,-36.932332026826444
53,-137.46520223061034
54,-172.745242192018
55,-80.19073974467898
56,-199.82152252999987
57,-100.03262190429328
58,-161.54569524120848
59,-92.2158591495624
60,-276.8095648651905
61,-222.25687929216747
62,-186.37247029929128
63,-221.1734987157302
64,-539.4209413604294
65,-205.9736250299174
66,-75.5297705155062
67,-10.803348183363852
68,-161.60171179881476
69,-79.30725195633357
70,-429.1727236722114
71,-305.66511203942287
72,-80.14357717742146
73,-153.69320974205743
74,-236.6487536524823
75,-66.9978673273507
76,24.188012907433162
77,-8.010336169068196
78,-75.72941751279872
79,-59.19240013628318
80,-48.38349341944006
81,231.89554943512846
82,-200.4715019683291
83,-410.5610085725456
84,-181.93679109919248
85,-19.345866538857308
86,-83.10431506181709
87,-23.989818176034092
88,-255.81153625015023
89,-39.35804375275204
90,-64.57212894362644
91,-28.2729989617891
92,-37.424353683613404
93,-188.90987423836845
94,-33.36375762008312
95,-57.899438694308714
96,-49.6379547364898
97,-53.55072052510899
98,-46.97376812280353
99,-277.6989258368154
100,-156.72672769622784
101,-243.59536293607513
102,-269.5393903100401
103,-121.08055598932003
104,-38.41809330122423
105,-249.90150608922798
106,-125.66741202414377
107,-197.05920922442016
108,-508.8392808322118
109,-329.59902385168925
110,-72.09885592400155
111,-185.11293105127487
112,-58.822278293511516
113,-204.60453591363728
114,-750.8728930681897
115,-231.99268866950746
116,-61.593894155181175
117,-58.631299188120124
118,-186.63282511537318
119,-56.23564153009738
120,-163.120223184173
121,-209.83135662494988
122,-57.57536930708613
123,-174.8389942200669
124,-338.0891299966129
125,-192.21157522417474
126,-161.56208611399967
127,-29.864856957609575
128,-46.623536582702734
129,-225.65655134154815
130,-34.35258643556277
131,-332.1103456559412
132,-12.537759716464635
133,-78.21096163502173
134,-27.308540810389545
